,Name,Branch,Town,City,Exam,Rank_19_R1,Score_19_R1,Rank_19_R2,Score_19_R2,Rank_20_R1,Score_20_R1,Rank_20_R2,Score_20_R2
486,G.H.Raisoni College of Engineering & Management,Civil Engineering, Wagholi, Pune,JEE,16699.0,50.0,19429.0,45.0,15386.0,75.9503111,46078.0,33.254018
487,Dr. D.Y.Patil Institute of Engineering,Civil Engineering, Management & Reseach, Akurdi,JEE,16753.0,50.0,13008.0,57.0,38001.0,47.1462961,53401.0,14.226675
488,G. S. Mandal's Maharashtra Institute of Technology,Agricultural Engineering, Aurangabad,,JEE,16818.0,50.0,15631.0,51.0,19200.0,71.3023665,29020.0,59.368952
489,Mahatma Gandhi Missions College of Engineering,Civil Engineering, Hingoli Rd, Nanded.,JEE,16937.0,49.0,16867.0,50.0,40820.0,42.4413035,4625.0,90.1726194
490,Mahatma Gandhi Missions College of Engineering,Civil Engineering, Hingoli Rd, Nanded.,JEE,16937.0,49.0,16867.0,50.0,40820.0,42.4413035,46942.0,31.6266886
491,Sinhgad College of Engineering,Bio Technology, Vadgaon (BK), Pune,JEE,16954.0,49.0,21660.0,43.0,25140.0,63.9025795,51705.0,19.9287396
492,Ideal Institute of Technology,Computer Engineering, Wada, Dist.Thane,JEE,17217.0,49.0,22456.0,41.0,49243.0,26.2649485,41933.0,40.7796198
493,Ideal Institute of Technology,Computer Engineering, Wada, Dist.Thane,JEE,17217.0,49.0,22456.0,41.0,49243.0,26.2649485,47126.0,31.5668267
494,Atharva College of Engineering,Electronics Engineering,Malad(West),Mumbai,JEE,17308.0,49.0,20621.0,44.0,42817.0,39.3730397,29449.0,58.8897151
495,Atharva College of Engineering,Electronics Engineering,Malad(West),Mumbai,JEE,17308.0,49.0,20621.0,44.0,42817.0,39.3730397,52183.0,18.46003
496,Shivajirao S. Jondhale College of Engineering,Computer Engineering, Dombivali,Mumbai,JEE,17772.0,48.0,22002.0,42.0,19679.0,70.9226452,21698.0,68.596806
497,Shivajirao S. Jondhale College of Engineering,Information Technology, Dombivali,Mumbai,JEE,18002.0,47.0,20893.0,44.0,21880.0,68.4444935,28987.0,59.368952
498,Annasaheb Dange College of Engineering and Technology,Civil Engineering, Ashta, Sangli,JEE,18024.0,47.0,18273.0,47.0,42015.0,40.7696398,16245.0,75.0900995
499,All India Shri Shivaji Memorial Society's Institute of InformationTechnology,Electrical Engineering,Pune,,JEE,18210.0,47.0,15313.0,52.0,33427.0,53.5743091,28465.0,60.1371142
500,D.Y. Patil College of Engineering and Technology,Chemical Engineering, Kolhapur,,JEE,18263.0,47.0,20318.0,45.0,26382.0,62.7368048,50895.0,22.3648508
501,Lokmanya Tilak Jankalyan Shikshan Sanstha,Information Technology, Priyadarshani College ofEngineering, Nagpur,JEE,18899.0,46.0,13473.0,55.0,16515.0,74.8024546,16520.0,74.8024546
502,Yeshwantrao Chavan College of Engineering,Electronics Engineering,Wanadongri, Nagpur,JEE,18920.0,46.0,13365.0,56.0,22509.0,67.287223,13130.0,78.7086899
503,Kolhapur Institute of Technology's College of Engineering(Autonomous),Bio Technology,Kolhapur,,JEE,19109.0,46.0,25605.0,38.0,12701.0,79.2999634,37655.0,47.3984733
504,Sinhagad Institute of Technology,Information Technology, Lonavala,,JEE,19402.0,45.0,29021.0,35.0,19790.0,70.5058095,18456.0,72.1964411
505,Terna Engineering College,Civil Engineering, Nerul, Navi Mumbai,JEE,19584.0,45.0,19378.0,45.0,31533.0,56.1054739,40357.0,43.1743514
506,Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College ofEngineering,Information Technology, Sangamner,,JEE,19863.0,45.0,20788.0,44.0,12020.0,80.2950778,12296.0,79.7610105
507,Pravara Rural College of Engineering,Computer Engineering, Loni, Pravaranagar,JEE,20287.0,45.0,26260.0,37.0,13752.0,77.9127753,14742.0,76.7218886
508,G. H.Raisoni Institute of Engineering and Technology,Mechanical Engineering, Wagholi, Pune,JEE,21525.0,43.0,50621.0,17.0,55323.0,5.4054919,32610.0,54.6228743
509,Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College ofEngineering,Mechanical Engineering, Sangamner,,JEE,21649.0,43.0,17783.0,48.0,38526.0,46.217723,15090.0,76.4228752
510,NBN Sinhgad Technical Institutes Campus,Computer Engineering, Pune,,JEE,21758.0,42.0,29520.0,34.0,13727.0,77.9127753,9667.0,83.0211088
511,Priyadarshini Bhagwati  College of Engineering,Information Technology, Harpur Nagar, UmredRoad,JEE,21943.0,42.0,45887.0,21.0,17948.0,72.8887969,22098.0,68.130492
