,Unnamed: 0,Name,Branch,Town,Exam,Rank_19_R1,Score_19_R1,Rank_19_R2,Score_19_R2,Rank_20_R1,Score_20_R1,Rank_20_R2,Score_20_R2,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City_y,State,Country,College Type,Average Fees
43,63,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,2388,115,3311,103,1812,94.4920082,1171,95.6435427,Female,4 Acres,2631,128,1991,2.89,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
44,64,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,2388,115,3311,103,2343,93.63352,826,96.3552158,Female,4 Acres,2631,128,1991,2.49,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
45,65,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,2388,115,3311,103,2343,93.63352,1171,95.6435427,Female,4 Acres,2631,128,1991,2.46,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
46,66,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,3307,103,2716,110,1812,94.4920082,826,96.3552158,Female,4 Acres,2631,128,1991,2.93,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
47,67,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,3307,103,2716,110,1812,94.4920082,1171,95.6435427,Female,4 Acres,2631,128,1991,2.92,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
48,68,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,3307,103,2716,110,2343,93.63352,826,96.3552158,Female,4 Acres,2631,128,1991,2.16,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
49,69,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,3307,103,2716,110,2343,93.63352,1171,95.6435427,Female,4 Acres,2631,128,1991,2.03,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
50,70,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,3307,103,3311,103,1812,94.4920082,826,96.3552158,Female,4 Acres,2631,128,1991,2.92,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
51,71,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,3307,103,3311,103,1812,94.4920082,1171,95.6435427,Female,4 Acres,2631,128,1991,2.53,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
52,72,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,3307,103,3311,103,2343,93.63352,826,96.3552158,Female,4 Acres,2631,128,1991,2.39,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
53,73,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,3307,103,3311,103,2343,93.63352,1171,95.6435427,Female,4 Acres,2631,128,1991,2.06,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
54,96,MKSSS's Cummins College of Engineering for Women,Information Technology, Karvenagar,JEE,3894,96,3520,100,2873,92.7827663,1903,94.3664854,Female,4 Acres,2631,128,1991,2.06,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
55,196,MKSSS's Cummins College of Engineering for Women,Mechanical Engineering, Karvenagar,JEE,7166,75,7926,72,12661,79.2999634,6211,87.7871498,Female,4 Acres,2631,128,1991,1.31,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
56,76,MIT Academy of Engineering,Computer Engineering,Alandi,JEE,2508,113,3804,97,2555,93.2964586,3234,92.2386947,Co-Ed,11 Acres,3030,171,1999,2.11,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room",Pune,Maharashtra,India,Private,500454.5455
57,114,MIT Academy of Engineering,Information Technology,Alandi,JEE,4113,94,4154,94,3205,92.2920648,3943,91.2222675,Co-Ed,11 Acres,3030,171,1999,2.08,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room",Pune,Maharashtra,India,Private,500454.5455
58,136,MIT Academy of Engineering,Mechanical Engineering,Alandi,JEE,5145,86,5717,82,17045,74.0129969,19561,70.9815068,Co-Ed,11 Acres,3030,171,1999,1.79,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room",Pune,Maharashtra,India,Private,500454.5455
