,Rank,Scores,Name,Branch,Town,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City_y,State,Country,College Type,Average Fees
348,3228,104.0,Vidyalankar Institute of Technology,Computer Engineering,Wadala,Co-Ed,11 Acres,3563,167,1999,3.03,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility",Mumbai,Maharashtra,India,Private,433583.3333
191,3307,103.0,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,Female,4 Acres,2631,128,1991,3.95,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
368,3250,103.0,Walchand Institute of Technology,Computer Science and Engineering, Solapur,Co-Ed,22 Acres,2551,156,1983,3.21,"Solapur University, Solapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Solapur,Maharashtra,India,Private,357692.3077
131,3274,103.0,Don Bosco Institute of Technology,Information Technology, Mumbai,Co-Ed,36 Acres,2654,222,2001,3.87,"Visvesvaraya Technological University, Belagavi","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Bengaluru,Karnataka,India,Private,175272.7273
132,3274,103.0,Don Bosco Institute of Technology,Information Technology, Mumbai,Co-Ed,,1547,90,2001,4.0,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,496000
198,3311,103.0,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,Female,4 Acres,2631,128,1991,3.9,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
252,3440,102.0,Pune Vidyarthi Griha's College of Engineering and Technology,Computer Engineering,  Pune,Co-Ed,8 Acres,,98,1985,3.88,"Savitribai Phule Pune University, Pune","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,394500
124,3448,101.0,Don Bosco Institute of Technology,Information Technology, Mumbai,Co-Ed,,1547,90,2001,3.83,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,496000
123,3448,101.0,Don Bosco Institute of Technology,Information Technology, Mumbai,Co-Ed,36 Acres,2654,222,2001,3.69,"Visvesvaraya Technological University, Belagavi","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Bengaluru,Karnataka,India,Private,175272.7273
162,3548,100.0,Thakur College of Engineering and Technology,Information Technology, Kandivali,Co-Ed,3 Acres,3193,135,2001,3.89,"University of Mumbai, Mumbai","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Mumbai,Maharashtra,India,Private,491666.6667
199,3520,100.0,MKSSS's Cummins College of Engineering for Women,Information Technology, Karvenagar,Female,4 Acres,2631,128,1991,3.84,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
97,3667,99.0,Vivekanand Education Society's Institute of Technology,"Electronics and TelecommunicationEngg", Chembur,Co-Ed,,3138,126,1984,3.6,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Private,315500
353,3710,98.0,Vidyalankar Institute of Technology,Computer Engineering,Wadala,Co-Ed,11 Acres,3563,167,1999,3.25,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility",Mumbai,Maharashtra,India,Private,433583.3333
168,3739,98.0,Thakur College of Engineering and Technology,Information Technology, Kandivali,Co-Ed,3 Acres,3193,135,2001,3.75,"University of Mumbai, Mumbai","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Mumbai,Maharashtra,India,Private,491666.6667
1193,70003,98.0,Wainganga College of Engineering and Management,Computer Science and Engineering, Dongargaon,Co-Ed,7 Acres,1250,164,2008,2.0,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Convenience Store, Alumni Associations",Sirul,Maharashtra,India,Private,218722.2222
125,3787,98.0,Don Bosco Institute of Technology,Mechanical Engineering, Mumbai,Co-Ed,36 Acres,2654,222,2001,3.87,"Visvesvaraya Technological University, Belagavi","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Bengaluru,Karnataka,India,Private,175272.7273
126,3787,98.0,Don Bosco Institute of Technology,Mechanical Engineering, Mumbai,Co-Ed,,1547,90,2001,3.92,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,496000
103,3815,97.0,Vivekanand Education Society's Institute of Technology,"Electronics and TelecommunicationEngg", Chembur,Co-Ed,,3138,126,1984,3.82,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Private,315500
169,3867,97.0,Thakur College of Engineering and Technology,Mechanical Engineering, Kandivali,Co-Ed,3 Acres,3193,135,2001,3.95,"University of Mumbai, Mumbai","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Mumbai,Maharashtra,India,Private,491666.6667
225,3804,97.0,MIT Academy of Engineering,Computer Engineering,Alandi,Co-Ed,11 Acres,3030,171,1999,3.88,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room",Pune,Maharashtra,India,Private,500454.5455
